city,date,avg_temp_c,max_temp_c,min_temp_c,avg_humidity,total_precip_mm,condition
montreal,2025-11-13,1.5,2.1,0.9,96,0.0,Fog
montreal,2025-11-09,-0.6,0.5,-1.3,91,78.5,Moderate or heavy snow showers
montreal,2025-11-08,4.0,7.3,-1.2,86,2.8,Overcast
montreal,2025-11-12,-0.6,1.4,-4.1,91,0.0,Fog
montreal,2025-11-11,-2.4,-1.6,-2.9,87,0.0,Overcast
montreal,2025-11-10,1.2,2.1,-0.3,96,78.3,Moderate snow
vancouver,2025-11-13,10.5,10.9,10.1,97,67.0,Moderate rain
vancouver,2025-11-09,11.6,13.4,9.6,69,0.0,Overcast
vancouver,2025-11-08,8.6,10.5,6.3,85,0.0,Mist
vancouver,2025-11-12,8.3,9.6,7.1,91,13.1,Heavy rain at times
vancouver,2025-11-11,7.9,8.2,7.7,92,0.0,Overcast
vancouver,2025-11-10,9.9,11.1,7.9,94,0.0,Mist
toronto,2025-11-13,4.8,7.1,2.7,81,0.0,Partly cloudy
toronto,2025-11-09,2.3,3.7,1.1,82,14.2,Moderate or heavy rain shower
toronto,2025-11-12,3.3,5.8,1.6,86,0.0,Overcast
toronto,2025-11-11,0.5,3.1,-2.5,80,1.7,Overcast
toronto,2025-11-10,-0.6,1.1,-2.4,71,2.6,Partly cloudy
